# Generated from glyphlist.txt available from
# http://partners.adobe.com/asn/developer/typeforum/unicodegn.html
#
A,41
whitecornerbracketleftvertical,fe43
whitecornerbracketright,300f
whitecornerbracketrightvertical,fe44
whitediamond,25c7
whitediamondcontainingblacksmalldiamond,25c8
whitedownpointingsmalltriangle,25bf
whitedownpointingtriangle,25bd
whiteleftpointingsmalltriangle,25c3
whiteleftpointingtriangle,25c1
whitelenticularbracketleft,3016
whitelenticularbracketright,3017
whiterightpointingsmalltriangle,25b9
whiterightpointingtriangle,25b7
whitesmallsquare,25ab
whitesmilingface,263a
whitesquare,25a1
whitestar,2606
whitetelephone,260f
whitetortoiseshellbracketleft,3018
whitetortoiseshellbracketright,3019
whiteuppointingsmalltriangle,25b5
whiteuppointingtriangle,25b3
wihiragana,3090
wikatakana,30f0
wikorean,315f
wmonospace,ff57
wohiragana,3092
wokatakana,30f2
wokatakanahalfwidth,ff66
won,20a9
wonmonospace,ffe6
wowaenthai,e27
wparen,24b2
wring,1e98
wsuperior,2b7
wturned,28d
wynn,1bf
x,78
xabovecmb,33d
xbopomofo,3112
xcircle,24e7
xdieresis,1e8d
xdotaccent,1e8b
xeharmenian,56d
xi,3be
xmonospace,ff58
xparen,24b3
xsuperior,2e3
y,79
yaadosquare,334e
yabengali,9af
yacute,fd
yadeva,92f
yaekorean,3152
yagujarati,aaf
yagurmukhi,a2f
yahiragana,3084
yakatakana,30e4
yakatakanahalfwidth,ff94
yakorean,3151
yamakkanthai,e4e
yasmallhiragana,3083
yasmallkatakana,30e3
yasmallkatakanahalfwidth,ff6c
yatcyrillic,463
ycircle,24e8
ycircumflex,177
ydieresis,ff
ydotaccent,1e8f
ydotbelow,1ef5
yeharabic,64a
yehbarreearabic,6d2
yehbarreefinalarabic,fbaf
yehfinalarabic,fef2
yehhamzaabovearabic,626
yehhamzaabovefinalarabic,fe8a
yehhamzaaboveinitialarabic,fe8b
yehhamzaabovemedialarabic,fe8c
yehinitialarabic,fef3
yehmedialarabic,fef4
yehmeeminitialarabic,fcdd
yehmeemisolatedarabic,fc58
yehnoonfinalarabic,fc94
yehthreedotsbelowarabic,6d1
yekorean,3156
yen,a5
yenmonospace,ffe5
yeokorean,3155
yeorinhieuhkorean,3186
yerahbenyomohebrew,5aa
yerahbenyomolefthebrew,5aa
yericyrillic,44b
yerudieresiscyrillic,4f9
yesieungkorean,3181
yesieungpansioskorean,3183
yesieungsioskorean,3182
yetivhebrew,59a
ygrave,1ef3
yhook,1b4
yhookabove,1ef7
yiarmenian,575
yicyrillic,457
yikorean,3162
yinyang,262f
yiwnarmenian,582
ymonospace,ff59
yod,5d9
yoddagesh,fb39
yoddageshhebrew,fb39
yodhebrew,5d9
yodyodhebrew,5f2
yodyodpatahhebrew,fb1f
yohiragana,3088
yoikorean,3189
yokatakana,30e8
yokatakanahalfwidth,ff96
yokorean,315b
yosmallhiragana,3087
yosmallkatakana,30e7
yosmallkatakanahalfwidth,ff6e
yotgreek,3f3
yoyaekorean,3188
yoyakorean,3187
yoyakthai,e22
yoyingthai,e0d
yparen,24b4
ypogegrammeni,37a
ypogegrammenigreekcmb,345
yr,1a6
yring,1e99
ysuperior,2b8
ytilde,1ef9
yturned,28e
yuhiragana,3086
yuikorean,318c
yukatakana,30e6
yukatakanahalfwidth,ff95
yukorean,3160
yusbigcyrillic,46b
yusbigiotifiedcyrillic,46d
yuslittlecyrillic,467
yuslittleiotifiedcyrillic,469
yusmallhiragana,3085
yusmallkatakana,30e5
yusmallkatakanahalfwidth,ff6d
yuyekorean,318b
yuyeokorean,318a
yyabengali,9df
yyadeva,95f
z,7a
zaarmenian,566
zacute,17a
zadeva,95b
zagurmukhi,a5b
zaharabic,638
zahfinalarabic,fec6
zahinitialarabic,fec7
zahiragana,3056
zahmedialarabic,fec8
zainarabic,632
zainfinalarabic,feb0
zakatakana,30b6
zaqefgadolhebrew,595
zaqefqatanhebrew,594
zarqahebrew,598
zayin,5d6
zayindagesh,fb36
zayindageshhebrew,fb36
zayinhebrew,5d6
zbopomofo,3117
zcaron,17e
zcircle,24e9
zcircumflex,1e91
zcurl,291
zdot,17c
zdotaccent,17c
zdotbelow,1e93
zecyrillic,437
zedescendercyrillic,499
zedieresiscyrillic,4df
zehiragana,305c
zekatakana,30bc
zero,30
zeroarabic,660
zerobengali,9e6
zerodeva,966
zerogujarati,ae6
zerogurmukhi,a66
zerohackarabic,660
zeroinferior,2080
zeromonospace,ff10
zerooldstyle,f730
zeropersian,6f0
zerosuperior,2070
zerothai,e50
zerowidthjoiner,feff
zerowidthnonjoiner,200c
zerowidthspace,200b
zeta,3b6
zhbopomofo,3113
zhearmenian,56a
zhebrevecyrillic,4c2
zhecyrillic,436
zhedescendercyrillic,497
zhedieresiscyrillic,4dd
zihiragana,3058
zikatakana,30b8
zinorhebrew,5ae
zlinebelow,1e95
zmonospace,ff5a
zohiragana,305e
zokatakana,30be
zparen,24b5
zretroflexhook,290
zstroke,1b6
zuhiragana,305a
zukatakana,30ba
